Photo,Ci,Trmmol,VPD,PARi,Ca,RH,Press,Ta
8.26943071,350.7341816,2.810904823,1.530082153,1499.509644,449.9664307,41.77824148,99.98110198,20.50408681
8.708934684,354.5063307,2.937903455,1.499569372,1200.624431,450.0062561,42.08356349,99.98005169,20.50547473
8.742536504,356.0953299,2.896926452,1.478993356,1000.65271,449.9983826,41.9919459,99.97973124,20.47912661
8.727480074,356.0800803,2.848932698,1.469527611,867.146871,450.093984,41.51557286,99.98013305,20.45586395
8.265537,355.7035536,2.590005391,1.459907055,600.3645528,449.9187419,40.7583491,99.97974397,20.4130586
7.396370473,355.8079924,2.242737186,1.456387872,366.7223918,450.0563863,39.85134761,99.98171741,20.36949603
4.687122091,378.4957142,1.845578326,1.462702758,166.4912999,450.0356445,38.7007904,99.98005423,20.34050052
2.561007791,393.1641141,1.369005762,1.489955118,74.21081796,450.064209,37.46591441,99.97944895,20.33103244
1.750570625,393.5624518,0.954424395,1.515387829,46.78643799,450.0166728,36.46841812,99.97780864,20.32363192
-0.610342603,465.6981358,0.585731434,1.53767459,0.096760423,449.9537455,35.81624985,99.97689565,20.3325456
